train_loss: 2.23584467569987,val_loss: 2.247964294751485, val_perplexity: 9.468441248430102
train_loss: 2.2416512727737428,val_loss: 2.2534781138102216, val_perplexity: 9.52079271586843
train_loss: 2.226254924138387,val_loss: 2.239880108833313, val_perplexity: 9.39220517750232
train_loss: 2.244178120295207,val_loss: 2.2311739126841226, val_perplexity: 9.31078972068095
train_loss: 2.2075411637624103,val_loss: 2.229882550239563, val_perplexity: 9.298773876581196
train_loss: 2.2058557351430257,val_loss: 2.2218401432037354, val_perplexity: 9.224289271361666
train_loss: 2.2148436546325683,val_loss: 2.217824085553487, val_perplexity: 9.187318282368116
train_loss: 2.2526661078135173,val_loss: 2.2128802061080934, val_perplexity: 9.142009381511874
train_loss: 2.218986463546753,val_loss: 2.217170770963033, val_perplexity: 9.181318033525573
train_loss: 2.235727373758952,val_loss: 2.2031634569168093, val_perplexity: 9.053608947199402
train_loss: 2.218980638186137,val_loss: 2.209886368115743, val_perplexity: 9.114680615859982
train_loss: 2.199195901552836,val_loss: 2.2052261590957642, val_perplexity: 9.072303119729165
train_loss: 2.220306142171224,val_loss: 2.2214118003845216, val_perplexity: 9.220338959394208
train_loss: 2.2369964996973675,val_loss: 2.2074877540270488, val_perplexity: 9.092844213541328
train_loss: 2.215368564923604,val_loss: 2.214902893702189, val_perplexity: 9.160519524280211
train_loss: 2.214026856422424,val_loss: 2.1963134765625, val_perplexity: 8.991803827373111
train_loss: 2.2058674812316896,val_loss: 2.209725260734558, val_perplexity: 9.113212291817723
train_loss: 2.2095181941986084,val_loss: 2.19947718779246, val_perplexity: 9.020296345403708
train_loss: 2.1826695998509726,val_loss: 2.1887430985768637, val_perplexity: 8.92398948759289
train_loss: 2.211058807373047,val_loss: 2.19460088411967, val_perplexity: 8.976417710924904
train_loss: 2.1992472251256308,val_loss: 2.176056178410848, val_perplexity: 8.811486711286074
train_loss: 2.1794578870137533,val_loss: 2.18185301621755, val_perplexity: 8.862713804713271
train_loss: 2.2018373886744182,val_loss: 2.176629098256429, val_perplexity: 8.816536433296896
train_loss: 2.195059033234914,val_loss: 2.1791147232055663, val_perplexity: 8.838478294542341
train_loss: 2.1629143238067625,val_loss: 2.1672508080800372, val_perplexity: 8.734238904514942
train_loss: 2.166244379679362,val_loss: 2.1876527468363443, val_perplexity: 8.914264502913179
train_loss: 2.194243355592092,val_loss: 2.161534897486369, val_perplexity: 8.68445718529855
train_loss: 2.198499083518982,val_loss: 2.1690775911013285, val_perplexity: 8.750209046400423
train_loss: 2.199814788500468,val_loss: 2.18202965259552, val_perplexity: 8.864279420647014
train_loss: 2.201546827952067,val_loss: 2.175017563501994, val_perplexity: 8.802339720741195
train_loss: 2.1556869029998778,val_loss: 2.166479476292928, val_perplexity: 8.727504505973403
train_loss: 2.168681756655375,val_loss: 2.1717435757319135, val_perplexity: 8.773568092826595
train_loss: 2.1923004229863485,val_loss: 2.1735583384831747, val_perplexity: 8.789504493416503
train_loss: 2.151850744088491,val_loss: 2.150570607185364, val_perplexity: 8.589758376913528
train_loss: 2.160756301879883,val_loss: 2.1572159051895143, val_perplexity: 8.647029963733345
train_loss: 2.179908327261607,val_loss: 2.144758570194244, val_perplexity: 8.539979182868132
train_loss: 2.155919162432353,val_loss: 2.1688422203063964, val_perplexity: 8.74814974510055
train_loss: 2.1616926034291586,val_loss: 2.1721676190694175, val_perplexity: 8.777289254833715
train_loss: 2.177013309796651,val_loss: 2.1567917625109354, val_perplexity: 8.643363166960247
train_loss: 2.1462491114934283,val_loss: 2.1534703175226846, val_perplexity: 8.614702335723695
train_loss: 2.147664515177409,val_loss: 2.1579607168833417, val_perplexity: 8.653472771808763
train_loss: 2.1740268031756083,val_loss: 2.14422500928243, val_perplexity: 8.535423799183853
train_loss: 2.140848223368327,val_loss: 2.1252437829971313, val_perplexity: 8.374938906993089
train_loss: 2.147222971916199,val_loss: 2.1456743478775024, val_perplexity: 8.54780348733418
train_loss: 2.164434870084127,val_loss: 2.1399475653966267, val_perplexity: 8.498991975929076
train_loss: 2.159879191716512,val_loss: 2.138610291481018, val_perplexity: 8.487634091644503
train_loss: 2.130994951725006,val_loss: 2.1388103008270263, val_perplexity: 8.489331867568199
train_loss: 2.1406792561213175,val_loss: 2.1346861441930134, val_perplexity: 8.454392630194507
train_loss: 2.118410646915436,val_loss: 2.1317882617314656, val_perplexity: 8.429928258625495
train_loss: 2.167966155211131,val_loss: 2.1164614001909894, val_perplexity: 8.301709024649593
train_loss: 2.1403310378392537,val_loss: 2.125956356525421, val_perplexity: 8.380908793498195
train_loss: 2.1239318013191224,val_loss: 2.1194318532943726, val_perplexity: 8.326405523722087
train_loss: 2.1306285778681437,val_loss: 2.128428308169047, val_perplexity: 8.401651621837168
train_loss: 2.1154737075169883,val_loss: 2.1348019440968833, val_perplexity: 8.455371704735636
train_loss: 2.1485739747683206,val_loss: 2.133205008506775, val_perplexity: 8.441879796454266
train_loss: 2.1535483996073403,val_loss: 2.1361094315846763, val_perplexity: 8.466434227923573
train_loss: 2.12726792494456,val_loss: 2.133143389225006, val_perplexity: 8.441359629910737
train_loss: 2.129856236775716,val_loss: 2.139322789510091, val_perplexity: 8.493683669106378
train_loss: 2.111982782681783,val_loss: 2.1417993466059366, val_perplexity: 8.514744830486709
train_loss: 2.138063704967499,val_loss: 2.1334869543711346, val_perplexity: 8.444260285118993
train_loss: 2.101790901025136,val_loss: 2.119135355949402, val_perplexity: 8.323937132544954
train_loss: 2.1185978492101034,val_loss: 2.1158693552017214, val_perplexity: 8.296795494078289
train_loss: 2.14288915793101,val_loss: 2.118918712933858, val_perplexity: 8.322134005027905
train_loss: 2.122868617375692,val_loss: 2.117090078194936, val_perplexity: 8.306929767419675
train_loss: 2.0931036909421286,val_loss: 2.116515795389811, val_perplexity: 8.302160610044476
train_loss: 2.119617283344269,val_loss: 2.1206825335820514, val_perplexity: 8.336825709780204
train_loss: 2.1080888350804647,val_loss: 2.116785756746928, val_perplexity: 8.30440217514413
train_loss: 2.126272650559743,val_loss: 2.1224413593610127, val_perplexity: 8.351501636168813
train_loss: 2.107986648877462,val_loss: 2.115417456626892, val_perplexity: 8.293047031045207
train_loss: 2.1053476691246034,val_loss: 2.100194040934245, val_perplexity: 8.167754637552473
train_loss: 2.1203711589177447,val_loss: 2.104339238007863, val_perplexity: 8.201681859103857
train_loss: 2.0936261653900146,val_loss: 2.1122162421544393, val_perplexity: 8.266541656198559
